Brand,Sneaker,Sale,Retail,Order
 Yeezy,350-V2-Blue-Tint,$340,$220,15-Jan
 Yeezy,350-V2-Blue-Tint,$345,$220,15-Jan
 Yeezy,350-V2-Blue-Tint,$335,$220,15-Jan
 Yeezy,350-V2-Blue-Tint,$352,$220,15-Jan
 Yeezy,350-V2-Blue-Tint,$358,$220,15-Jan
 Yeezy,350-V2-Blue-Tint,$355,$220,15-Jan
 Yeezy,350-V2-Blue-Tint,$385,$220,15-Jan
 Yeezy,350-V2-Blue-Tint,$362,$220,15-Jan
 Yeezy,350-V2-Blue-Tint,$329,$220,15-Jan
 Yeezy,350-V2-Core-Black-Red,$852,$220,15-Jan
 Yeezy,350-V2-Core-Black-Red-2017,$827,$220,15-Jan
 Yeezy,350-V2-Core-Black-Red-2017,$830,$220,15-Jan
 Yeezy,350-V2-Core-Black-White,$720,$220,15-Jan
 Yeezy,350-V2-Cream-White,$488,$220,15-Jan
 Yeezy,350-V2-Cream-White,$519,$220,15-Jan
 Yeezy,350-V2-Cream-White,$440,$220,15-Jan
 Yeezy,350-V2-Cream-White,$500,$220,15-Jan
 Yeezy,350-V2-Cream-White,$420,$220,15-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$698,$220,15-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$550,$220,15-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$755,$220,15-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$650,$220,15-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$598,$220,15-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$635,$220,15-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$630,$220,15-Jan
 Yeezy,350-V2-Zebra,$515,$220,15-Jan
 Yeezy,350-V2-Zebra,$575,$220,15-Jan
 Yeezy,350-V2-Zebra,$565,$220,15-Jan
 Yeezy,350-V2-Zebra,$530,$220,15-Jan
 Yeezy,350-V2-Zebra,$530,$220,15-Jan
 Yeezy,350-V2-Zebra,$520,$220,15-Jan
 Yeezy,350-V2-Zebra,$560,$220,15-Jan
 Yeezy,350-Low-Pirate-Black-2015,$897,$200,16-Jan
 Yeezy,350-Low-V2-Beluga,$855,$220,16-Jan
 Yeezy,350-Low-V2-Beluga,$710,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$404,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$380,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$399,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$360,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$388,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$375,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$360,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$370,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$360,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$357,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$361,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$364,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$364,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$380,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$405,$220,16-Jan
