Order Date,Brand,Sneaker,Sale,Retail,Profit,ProfitPercent,Buyer Region
1/19/18,Off White,React Hyperdunk 2017 Flyknit Off White,406,200,206,103,Oregon
1/19/18,Off White,Zoom Fly Off White,425,170,255,150,California
1/19/18,Off White,Zoom Fly Off White,465,170,295,173.5294118,Michigan
1/20/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,630",190,1440,757.8947368,California
1/20/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,460",190,1270,668.4210526,New York
1/20/18,Off White,Air Force 1 Low Off White,785,170,615,361.7647059,California
1/20/18,Off White,Air Force 1 Low Off White,700,170,530,311.7647059,Virginia
1/20/18,Off White,Air Max 90 Off White,677,160,517,323.125,Virginia
1/20/18,Off White,Air Max 90 Off White,711,160,551,344.375,Oregon
1/20/18,Off White,Air Max 97 Off White,600,190,410,215.7894737,California
1/20/18,Off White,Air Max 97 Off White,624,190,434,228.4210526,New Jersey
1/20/18,Off White,Air Presto Off White,"1,230",160,1070,668.75,Illinois
1/20/18,Off White,Air Presto Off White,"1,290",160,1130,706.25,California
1/20/18,Off White,Air VaporMax Off White,810,250,560,224,New York
1/20/18,Off White,Air VaporMax Off White,799,250,549,219.6,California
1/20/18,Off White,Blazer Mid Off White,585,130,455,350,Ohio
1/20/18,Off White,Blazer Mid Off White,690,130,560,430.7692308,Texas
1/20/18,Off White,React Hyperdunk 2017 Flyknit Off White,420,200,220,110,California
1/20/18,Off White,Zoom Fly Off White,530,170,360,211.7647059,Oregon
1/21/18,Off White,Air Jordan 1 Retro High Off White Chicago,"1,690",190,1500,789.4736842,Georgia
1/21/18,Off White,Air Force 1 Low Off White,660,170,490,288.2352941,Connecticut
1/21/18,Off White,Air Force 1 Low Off White,701,170,531,312.3529412,Florida
1/21/18,Off White,Air Max 90 Off White,680,160,520,325,Colorado
1/21/18,Off White,Air Max 97 Off White,700,190,510,268.4210526,Florida
1/21/18,Off White,Air Max 97 Off White,700,190,510,268.4210526,California
1/21/18,Off White,Air Presto Off White,"1,086",160,926,578.75,Illinois
1/21/18,Off White,Air Presto Off White,"1,185",160,1025,640.625,California
1/21/18,Off White,Air Presto Off White,"1,285",160,1125,703.125,California
1/21/18,Off White,Air VaporMax Off White,790,250,540,216,New Jersey
1/21/18,Off White,Air VaporMax Off White,870,250,620,248,Colorado
1/21/18,Off White,Blazer Mid Off White,615,130,485,373.0769231,California
1/21/18,Off White,React Hyperdunk 2017 Flyknit Off White,415,200,215,107.5,Texas
1/21/18,Off White,Zoom Fly Off White,535,170,365,214.7058824,California
